processed_text,vader_sentiment
maps nyah buat lebih detail,1.0
buruk aplikasi erorr mulu,0.0
drivernya ramah baik,1.0
bagus,1.0
perlu baik map almt google tdk pantau jln batua raya batua raya driver temu sasar sesuai arah konsumen,1.0
sangat bantu sekali alhamdulillah bapak amanah ramah sehat njeh pak moga rezeki makin lancar sukses selalu maxim,1.0
aplikasiatau drivernyayg main ordersesuai aplikasitp stlah driver nyampe aplikasi selesaidan ubah alamat jemput lokasi tuju dua sama sama isi alamat yg sama satu lokasikacaujd g melacakperjalanorang yg bawadriver takut apa pihat maximbenahi apliksinyaatau jdi pihat drivernya coba main,1.0
enak bawa nya baik sekali orang nya,1.0
nunggu nya lama konfirmasi aja terus kali gagal mulu,0.0
gak ngotak customer pagi pagi siang sore malam udah harga murah lo murahin rumah gedong elit koret gaya elit ekonomi sulit lo brengsek mau murah naik odong odong aja,0.0
jooss mantap,1.0
dukung ibu bawa kerupuk palak driver arogan,1.0
murah sih saran beri fitur rating drivernya dong kadang driver sesuai sop pakai jaket maxim map google punya uang kembali pernah habis bensin tengah jalan kadang jadi telat berangkat kerja gara gara drivernya salah baca map google aplikasi tulis driver lokasi nyata jauh titik maksud apa biar bayar uang tunggu,0.0
nomor aktifasi error,0.0
castmar otak pasang lw oder pijit benar kunci jadi cs gak cansel,0.0
terima kasih pak,1.0
top,1.0
hadir maxim memang resah resah krn habis waktu tunggu driver ogah ambil order,0.0
bagus,1.0
baik,1.0
sangat bantu,1.0
riwayat order gak jasa transportasi buruk,0.0
drivernya kasar edukasi drivernya utama daerah makassar aplikasi status sedang cari driver sy cancel buru buru driver lalu tiba tiba banget dapet driver dah jelas aplikasi loading terus driver ngatangatain lewat chat bahasa kotor sy cancel bukan cuman sekali dapet driver kasar banget,0.0
waspada banyak oknumpenipuan pagi tipu order malam nya teror yg aku pihak maxim,0.0
kode otp pernah terima padahal nomor benar,1.0
makasih,1.0
good,1.0
udah punya akun tiap mau order gak trus minta kode nunggu lama gak masukmksdnya apa nih ribet skali,0.0
mantap on time,1.0
ramah sopan,1.0
dasar aplikasi tolol ditungguin maxim gada nerima order nolak semua gw sukses gw beli perushaan lu pegang lah janji gw dendam gw usaha lu gw janji sama aplikasi tahun bangkrut lu,0.0
sama maxim saling tolong,1.0
update food paket instan reguler samday kaya tingkatin lah jangan driver mulu baik ikut lah contoh grab gojek shopy food lalamove jangan cuma main driver bike coba update tingkatin paket food mohon dengerlah baca mohon bantu,1.0
aplikasi kau kekmana nya butuh pas hujan gak drivernya kalau gak kerja kau tutup aja apk kau lebih mending pulak gojek hujan mau jemput,0.0
mmatap murah layan bagus,1.0
oke,1.0
maaf min bintang dulu kalo udh ubah ratingnya karna maxim kok ga namain masukin nama lengkap selalu baca tanggal lahir salah padahal mau mencet tanggal lahir gabisa karna isi nama dulu gimana min jadi gabisa namain kasi sama drivernya kalo order apa ga nama respon nya minnn gimana cara atas,0.0
salah titij,0.0
app maxim jadi jelek banget mau order gak muat ulang terus akhir uninstal trs install ulang malah gak masuk kode verifikasi lewat sms jadul banget servernya verifikasi hrsnya lewat app wa malah sms via tlp malah tiba mati tlpnya pas angkat dong nieh cs nya maxim solusi pusat bantu gak menu app ttp hrs login dulu,0.0
terimakasih,1.0
baik sekali,1.0
map kurang akurat guna map google mudah cari alamat,1.0
ramah driver nya,1.0
good,1.0
mahon maaf pa,0.0
tiba error gaje,0.0
good,1.0
fitur ewallet nya ga jelas udh top up uang ga masuk hedeh,0.0
respon baik,1.0
sangat bagus,1.0
padahal benar maxim tu apk yg bagus murah driver yg nakal banyak bgt minta imbal padhl deket nganter barang alesannya kan sy hrs muter dlu lah mas kan emg gtu klo mau nganterin klo ga buru buru mah sy nganterin sendiri kali jd bayar kali lipat driver ny seleksi,1.0
layan yg baik,1.0
sangat baik,1.0
gara sering error lambat berangkat kerja,0.0
terima kasih,1.0
maaf kok maxim gak login terus kode verifikasi lama kirim padahal nomor bener,0.0
aplikasi nya kok tdk no telp customer krn sdh sampe lokasi jemput terkadang ditelp pakai aplikasi tdk,0.0
cepat sampe tuju nyaman pa suoirnya ramah,1.0
ramah baik,1.0
mantap,1.0
sangat aplikasi jelek,0.0
