hidden_dim,batch_size,dropout,learning_rate,epoch,train_loss,valid_loss,train_f1,valid_f1
64,32,0.3,0.001,3,0.091,0.252,0.953,0.843
64,32,0.5,0.001,3,0.107,0.245,0.943,0.835
64,64,0.3,0.001,2,0.213,0.246,0.87,0.816
64,64,0.5,0.001,2,0.231,0.246,0.862,0.83
64,32,0.3,0.0001,6,0.155,0.263,0.922,0.847
64,32,0.5,0.0001,10,0.105,0.257,0.95,0.857
64,64,0.3,0.0001,9,0.148,0.276,0.93,0.841
64,64,0.5,0.0001,10,0.166,0.261,0.914,0.841
128,32,0.3,0.001,2,0.179,0.261,0.89,0.827
128,32,0.5,0.001,3,0.125,0.254,0.923,0.847
128,64,0.3,0.001,2,0.194,0.231,0.881,0.845
128,64,0.5,0.001,2,0.222,0.253,0.858,0.811
128,32,0.3,0.0001,6,0.135,0.245,0.929,0.851
128,32,0.5,0.0001,6,0.18,0.247,0.9,0.843
128,64,0.3,0.0001,9,0.117,0.258,0.941,0.857
128,64,0.5,0.0001,10,0.135,0.245,0.932,0.852
