hidden_dim,batch_size,dropout,learning_rate,epoch,train_loss,valid_loss,train_f1,valid_f1
64,32,0.3,0.001,1,0.376,0.251,0.719,0.837
64,32,0.3,0.0001,6,0.143,0.261,0.93,0.854
64,64,0.3,0.001,2,0.192,0.238,0.888,0.857
64,64,0.3,0.0001,9,0.128,0.272,0.941,0.846
64,32,0.5,0.001,1,0.395,0.256,0.702,0.838
64,32,0.5,0.0001,8,0.122,0.253,0.939,0.865
64,64,0.5,0.001,2,0.219,0.241,0.86,0.858
64,64,0.5,0.0001,9,0.164,0.262,0.914,0.846
128,32,0.3,0.001,1,0.344,0.243,0.755,0.857
128,32,0.3,0.0001,5,0.155,0.255,0.917,0.839
128,64,0.3,0.001,2,0.229,0.236,0.85,0.859
128,64,0.3,0.0001,7,0.147,0.256,0.921,0.846
128,32,0.5,0.001,2,0.172,0.248,0.894,0.859
128,32,0.5,0.0001,10,0.085,0.235,0.953,0.869
128,64,0.5,0.001,2,0.208,0.234,0.873,0.847
128,64,0.5,0.0001,9,0.132,0.252,0.934,0.863
