Ulasan,Prediksi Sentimen,Label Prediksi,Label Asli
baik bgt drivernya,0.998550044,1,1
prngemudi ga bener chat telfon semua ga respon burukkkkk,0.022158742,0,0
bagus sekali kemudi ramah,0.999973771,1,1
aplikasi gajelas cari map aja susah benerin biar gampang cari map yg tuju,0.273140252,0,1
baik,0.995368531,1,1
sedikit kecewa sama driver carmobil sok an milih tumpang tarif tinggisementara driver nongkrong shelter,0.015801966,0,0
rekomended,0.698031425,1,1
baik,0.995368531,1,1
feedback didiemin driver sok jago udah tau jalur sepeda aja terobos aduhh minus banget,0.245723307,0,1
aplikasi bayar kaspro percuma top up kaspro niat bayar nontunai tarif jalan kerjasama bayar nontunai larang tolak bayar ongkos nontunai,0.008380175,0,0
bagus sih,0.999115021,1,1
terimakasih sekali bapak maaf salah kata maupun buat maksud apa tadi buru buru moga bapak keluarga sehat selalu lancar terus rejekinyaa,0.999098691,1,1
apknya bagus cuma drivernya ga punya sopan santun tumpang seblum seleksi satu drivernya jga nama driver sama datang sesuai foto drivernya,0.97423728,1,1
trimakasi nyaman baik,0.999957047,1,1
sebenernya bagus sering pakai aplikasi satu fitur ga jelas waktu tunggu gratis apaapaan coba padahal keluar gedung klik keluar driver nya nyasar tau tarif nya jadi naik waktu tunggu gratis habis padahal salah driver bukan customer nunggu lama malah bayar tarif naik tarif nya turunin kalo driver nya telat lama punya ss an chat nya kalo mau bukti,0.935531005,1,1
maxiim oke bangetterimakasih sdh antar anak tuju,0.999199592,1,1
orng ny baik,0.998302705,1,1
aplikasi tipu sangat kecewa harga order slalu beda tarif slalu naik harga bayar tuju apa buat harga murah order bayar harga naik drastis beda dgn belah ttp konsisten harga order harga bayar kapok,0.081704736,0,0
good,0.997505589,1,1
mesan waktu tunggu menit langsng jumpa langsung jalan gudi tunggu tarif naik hampir sorry la gak naek maxim,0.057533681,0,0
aplikasi suka macet chat driver ga balas nyata chat driver yg ga masuk pas udah ganti driver baru masuk jelas driver lg macet jadi kasi sama drivernya saldo kaspro lambat masuk itu ga kasih tau jg kalo isi potong,0.743939668,1,1
sangat ramah,0.999419547,1,1
sekarang susah cari driver dapet driver jarak nya gak masuk akal jauh titik jemput so bad,0.003609002,0,0
mantap,0.997492459,1,1
diver laku tindak keras perkosa,0.210637569,0,0
driver mantap,0.999167391,1,1
antar baik cepat,0.99980461,1,1
apk nya gak jelas,0.152730227,0,0
sangat cepat baik,0.999763772,1,1
dong kunci aplikasi beri notice kalo cs taruh titik tuju gak klik pesan kalo udah tuju baru klik pesan,0.091767967,0,0
layan nya baio ramah,0.999376743,1,1
apk sering errorsering banget baca maps nya kurang akurat jarak tempuh apk gk sesuaiargo nya gk sesuai pasti,0.054268301,0,1
good,0.997505589,1,1
bertanggungjawab drivernya,0.887321547,1,1
hormat admin maxim harga lebaran jadi double harga belum sangat rugi kata murah,0.050493598,0,1
susah lama banget cari drivernyaapa lg kali pesan makanangak pernah nyangkut,0.012494564,0,0
oke,0.994186807,1,1
nyaman,0.982256148,1,1
thank u,0.933030024,1,1
cepat ramah,0.999673391,1,1
aplikasi scam ribu palalu gua nombok banyak bngst,0.039381146,0,0
gue driver maxim gue saranin jangan pake maxim gue jarak deket aja minta order yg dapet malah yg jauh padahal auto udah nyala maxim milik rusia lebih baik pakai gojek milik indonesia kalo bukan bangsa sendiri yg guna karya anak bangsa mau siapa mending uninstall deh aplikasi maxim,0.896386795,1,1
good job,0.999811264,1,1
akun istri blokir dalam uang rban,0.15782243,0,0
dulu aplikasi paling nyaman enak guna semenjak sekarang jadi kurang banyak driver mobil mobil kurang tanggung jawab buat aplikasi kurang nyaman banyak driver maxim senggol tibatiba minta ganti rugi alas mobil senggol padahal nyata,0.825674817,1,1
maxim drivernya latih pesan car slbn tambora harga jadi harga driver beri jawab baik tanya harga naik terang bikin waktu tunggu menit padahal supir tunggu menit standby hai pihak maxim kalian bawa kemarin murid disabilitas kalian tega naik tarif jelas,0.993500615,1,1
parahdisaat hujan redamendung driver motor gak mau trima order lokasi manado,0.077909589,0,1
banyak driver klo pas kasih uang lebih sengaja ga ngasih kembali klo pas minta kadang ngedumel,0.883116491,1,1
makasih mas sehat selalu rame order,0.9997165,1,1
sangat bantu,0.996264019,1,1
bapak ramah nyetir dg baik pilih rute tepat,0.99993135,1,1
sangat baik dn ramah,0.999979572,1,1
drive beri layan baik sopan cepat,0.999859614,1,1
kalo customer cancel minta ganti driver tolong terima bukan malah kasih orang mulu,0.978787025,1,0
donk driver motor masa gk mau jemput sesuai titik apl nya mana gw bilang manja bgt gk mau kluar gang heeeyyyyyy gw bawa anak kecil gw nunggu depan rumah gak bakal lu abang maxim gk ketmu ma gw baik sikap atitude nya woy maxim,0.878692821,1,1
baik,0.995368531,1,1
lumayan bagus cepetkurir nya ramah,0.999982941,1,1
kemarin driver mobil maxim minta ganti rugi rb senggol plastik isi kerupuk usut driver tsb,0.023058355,0,0
isi e walet ribu masa cuma dapet ribu padahal top upnya pake seabank emang ngambil admin banyak,0.358229041,0,1
gmn to xim mau login kow gax sms gax masuk payah,0.019745886,0,1
aplikasi abal abal ngorder buat anak foto driver aplikasi muka ustadz yg datang tampang preman jadi ragu ragu buat antar jemput anak anak,0.48709619,0,0
kapok naik maxim mobil bandara soekarno hatta mehong ongkos byk tambah biaya dak jelas drivernya beri sanksi mungkin putus mitra kayak ojol belah yg ijo tegas atur min,0.976832123,1,0
baik,0.995368531,1,1
alamat nya susah malah maps nya aku ga keluar sih sinyal apa emng apknya kurang upgrade,0.004617274,0,0
driver nya ramahbaik,0.913280606,1,1
bagus,0.994124967,1,1
layan bagus antar tempat,0.999634743,1,1
baik,0.995368531,1,1
mantap pusa,0.999158262,1,1
baik,0.995368531,1,1
aplikasi busuk aplikasi siap pakai banyak maps kurang tepat mungkin nama kualitas sesuai harga harga murah kualitas rendah kalau bintang mungkin kasih,0.998347252,1,0
semangat,0.96029067,1,1
baik bngt,0.998446865,1,1
kecewa jir awal nya bagus pas kena ojol nya gk sopan jd muak sen mana napigatot nya map nya suka salah lama bgt cari lokasi donk deliver ojol nya kritik mh gk poko kurang muas,0.444180131,0,0
oke,0.994186807,1,1
kurir nya mantap cepat tanggap,0.999873412,1,1
baik,0.995368531,1,1
baik sekali,0.998337657,1,1
aplikasi bagus mudah,0.999806359,1,1
good,0.997505589,1,1
order makan malah driver bilang ga uang cash ga bilang tadi padahal pilih bayar cash udah nunggu lama laper tau gitu sen gojek grab mohon tingkat performa nya kalau mau saing,0.641379863,1,0
ramah baik,0.999967402,1,1
yth pt maxim indonesia mau tanya wajib pakai fake gps palsu wajib maxim buat order palsu wajib customer tdk angkat tlp driver curiga sama driver driver taxsee bela menggapa terus ganggu sama maxim kota binjai sumatera utara real no hoax berapa kale dapat order fiktif sama driver percuma gomong kalian buang badan tdk duli hina orang,0.00218761,0,0
baik,0.995368531,1,1
cs tahun kog tiba akun login baru padahal akun lama jadi langgan utama prioritas otorisasi pakek nomor nomor yg lama padahal udah ga dipakek pas login baru respon driver lambat bukan langgan utama prioritas mungkin capek ah,0.192382932,0,0
terima kasih banyak om,0.999924487,1,1
ramah,0.997082216,1,1
udah bagus cuman maps nya kurang update akurat,0.99664364,1,1
order penuh anjar rahmat santosa motorcycle warna merah nopol fubq terima kasih atas jalan rating,0.999565895,1,1
map nya perlu baik,0.998921152,1,1
baik ramah,0.999967682,1,1
jangan mengunakan aplikasi pernah dipranknunggu jam gak muncul muncul ojek nya,0.033817947,0,0
baik bapak,0.99951444,1,1
bagus,0.994124967,1,1
sangat bagus,0.99879462,1,1
baik reting nya sama ni aku orang yg jujur kan barang orang yg harga helm semangat murah rezeki pak,0.999965283,1,1
sngat baik ramah,0.999973897,1,1
aplikasi sampah susah nyari lokasi yg tuju maps nya ga sesuai aph yg ketik,0.024587393,0,0
apk ny suka eror,0.571893364,1,0
moga berkah sukses selalu abang maxim jangan pernah serah keluarga tunggu hasil,0.999904237,1,1
ga beda jauh sama grabongkirnyapembayar ga non tunai,0.049680054,0,0
aplikasi tolol,0.247519314,0,0
baik tampil map mode satelit google,0.999662243,1,1
banyak driver ramah kasar emosi dpt alam buruk dri driver maxim,0.513939112,1,0
mesan car slalu gak pernah hidup ac mobil nya,0.368843377,0,0
driver cpt tiba yaamtr bersih good job,0.999700178,1,1
mantap,0.997492459,1,1
drivernya ramah rapih ugalan,0.999522486,1,1
sering cancel pihak maxim,0.857062593,1,1
baik,0.995368531,1,1
ramah,0.997082216,1,1
hati hati bnyk driver culas maxim sdh beberapa kali dpt driver culas order awal ambil tiba lokasi jemput justru diam diam batal bawa orderannyasetelah tuju ulah minta uang lebih awal rb ketika minta k maxim lebih ketat tumpang rugi belah pihak terima kasih,0.990426947,1,1
mantap,0.997492459,1,1
luar biasa mantap,0.99987225,1,1
baik,0.995368531,1,1
banyak driver jujur soal tarif,0.973975006,1,1
mantap,0.997492459,1,1
baik,0.995368531,1,1
puas layan tks,0.999168868,1,1
ramah,0.997082216,1,1
makasih abang,0.998282739,1,1
buruk si layan nya kemarin mlm naik maxsim motor ongkos uang ratus ribu kata drivernya gadak kembali diamau nukar spbu detik kembali uang hilang bawa driver nya mrga sihotang sayang nya gak hapal no bknya,0.007285655,0,0
pake kartu smartfren gk dapet saldo gratis pilih kasih peang,0.994588546,1,1
baik masalah otp daftar login muncul muncul,0.816056743,1,1
lebih murah grabgojek driver maxim sdm rendah sering kata kasar lebih banyak kasus,0.030472398,0,0
order penuh cecep anwar sanusi motorcycle warna biru nopol tow terima kasih atas jalan rating,0.999655672,1,1
sopir ramah,0.999180439,1,1
jelek maaf aja drivernya suka batalin order,0.02703166,0,0
murah cepat good job,0.999932657,1,1
baik,0.995368531,1,1
